地点名,カテゴリ,緯度,経度,確認済み,説明,注意メモ,Google Maps URL
羅臼町 しおかぜ公園(北海道東トレイル終点候補),起点・終点,44.0209,145.1898,FALSE,北側起点/終点。知床の海に到達するゴール地点。,公式サイトで羅臼側起点として言及。座標は要最終確認。,"https://www.google.com/maps/search/?api=1&query=44.0209,145.1898"
釧路市 幣舞橋公園(北海道東トレイル起点候補),起点・終点,42.9849,144.3825,FALSE,南側起点。ここから湿原・酪農・カルデラ・畑作・海へ北上する旅の入口。,公式サイトで釧路側起点として言及。座標は要最終確認。,"https://www.google.com/maps/search/?api=1&query=42.9849,144.3825"
北海道東トレイル 川湯オフィス / 川湯ビジターセンター,情報拠点,43.6361,144.4388,FALSE,トレイル中間の情報収集拠点。計画・天候・通行情報の確認ポイント。,公式サイトに所在地・開館情報あり。,"https://www.google.com/maps/search/?api=1&query=43.6361,144.4388"
細岡ビジターズラウンジ,情報拠点,43.104,144.492,FALSE,湿原の成り立ちを学べる休憩・情報ポイント。,モデルコース本文で言及。,"https://www.google.com/maps/search/?api=1&query=43.104,144.492"
川湯温泉駅,交通,43.6164,144.4562,FALSE,鉄道アクセス拠点。川湯温泉街とは距離があるため移動計画に注意。,MVP候補。,"https://www.google.com/maps/search/?api=1&query=43.6164,144.4562"
摩周駅,交通,43.4858,144.4569,FALSE,鉄道アクセスと町中補給の起点。,MVP候補。,"https://www.google.com/maps/search/?api=1&query=43.4858,144.4569"
清里町駅,交通,43.835,144.5947,FALSE,鉄道アクセス・町中補給の起点。,MVP候補。,"https://www.google.com/maps/search/?api=1&query=43.835,144.5947"
知床斜里駅,交通,43.9108,144.6615,FALSE,知床方面の主要アクセス駅。,MVP候補。,"https://www.google.com/maps/search/?api=1&query=43.9108,144.6615"
遠矢駅,交通,43.0347,144.4587,FALSE,湿原コースのスタート地点。鉄道アクセスを使った日帰り導入に最適。,モデルコースで起点として記載。,"https://www.google.com/maps/search/?api=1&query=43.0347,144.4587"
釧路湿原駅,交通,43.1063,144.4859,FALSE,湿原コースの帰着駅。日帰りコースの出口。,モデルコースで終点として記載。,"https://www.google.com/maps/search/?api=1&query=43.1063,144.4859"
中標津空港,空港,43.5775,144.96,FALSE,遠方利用者の玄関口。ツアー造成時の集合・解散候補。,MVP候補。,"https://www.google.com/maps/search/?api=1&query=43.5775,144.96"
中標津町中心部,町,43.5552,144.9718,FALSE,空港・宿泊・食事・補給の広域拠点。観光導線のハブ候補。,MVP候補。ルート直結性は要確認。,"https://www.google.com/maps/search/?api=1&query=43.5552,144.9718"
小清水町中心部,町,43.8568,144.4619,FALSE,斜里・清里・網走方面の連携補給候補。,ルート直接性は要確認。,"https://www.google.com/maps/search/?api=1&query=43.8568,144.4619"
川湯温泉街,町,43.6388,144.4382,FALSE,温泉・宿泊・休息の重要拠点。長距離歩行の回復地点。,公式オフィス所在地周辺。,"https://www.google.com/maps/search/?api=1&query=43.6388,144.4382"
弟子屈町中心部 / 摩周駅周辺,町,43.4855,144.4595,FALSE,阿寒摩周エリアの補給・宿泊・交通拠点。,ルート周辺の町としてMVP候補。,"https://www.google.com/maps/search/?api=1&query=43.4855,144.4595"
斜里町中心部 / 知床斜里駅周辺,町,43.9114,144.662,FALSE,知床方面へのゲートウェイ。食事・宿泊・補給を集約したい。,MVP候補。,"https://www.google.com/maps/search/?api=1&query=43.9114,144.662"
標津町中心部,町,43.6604,145.1313,FALSE,海沿いの補給・宿泊・食事候補。羅臼前後の調整地点。,MVP候補。,"https://www.google.com/maps/search/?api=1&query=43.6604,145.1313"
標茶町中心部,町,43.3032,144.6009,FALSE,湿原から酪農地帯へ向かう補給・宿泊候補地。,ルート周辺の町としてMVP候補。,"https://www.google.com/maps/search/?api=1&query=43.3032,144.6009"
清里町中心部,町,43.8351,144.594,FALSE,畑作地帯と斜里岳の景観が広がる補給・宿泊候補地。,ルート周辺の町としてMVP候補。,"https://www.google.com/maps/search/?api=1&query=43.8351,144.594"
羅臼町中心部,町,44.0203,145.1896,FALSE,知床の海側ゴール拠点。食事・宿泊・観光価値が高い。,公式サイトで羅臼側起点に言及。,"https://www.google.com/maps/search/?api=1&query=44.0203,145.1896"
遠矢駅周辺 自販機候補,自販機,43.0347,144.4587,FALSE,湿原コース前の飲料補給候補。現地有無確認。,OSM/現地確認で確定。,"https://www.google.com/maps/search/?api=1&query=43.0347,144.4587"
釧路湿原駅周辺 自販機候補,自販機,43.1063,144.4859,FALSE,帰着前後の飲料補給候補。現地有無確認。,OSM/現地確認で確定。,"https://www.google.com/maps/search/?api=1&query=43.1063,144.4859"
Seicomart,コンビニ,43.079478,145.097877,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/5965630050,"https://www.google.com/maps/search/?api=1&query=43.079478,145.097877"
Seicomart,コンビニ,43.561363,145.220491,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/5971056528,"https://www.google.com/maps/search/?api=1&query=43.561363,145.220491"
seicomart,コンビニ,43.485186,144.448671,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/2575198459,"https://www.google.com/maps/search/?api=1&query=43.485186,144.448671"
seven eleven,コンビニ,43.655982,145.132904,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4242211289,"https://www.google.com/maps/search/?api=1&query=43.655982,145.132904"
Альбатрос,コンビニ,44.028192,145.864794,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4234977690,"https://www.google.com/maps/search/?api=1&query=44.028192,145.864794"
Ангара,コンビニ,44.02958,145.860399,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4293997711,"https://www.google.com/maps/search/?api=1&query=44.02958,145.860399"
Ассорти,コンビニ,44.029464,145.86049,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4293997706,"https://www.google.com/maps/search/?api=1&query=44.029464,145.86049"
Визит,コンビニ,44.025426,145.864438,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4293997550,"https://www.google.com/maps/search/?api=1&query=44.025426,145.864438"
Вымпел,コンビニ,44.028399,145.864425,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4686136889,"https://www.google.com/maps/search/?api=1&query=44.028399,145.864425"
Коралл,コンビニ,44.028269,145.864692,FALSE,店舗種別: convenience / 営業時間: Mo-Fr 08:00-22:00,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4234977789,"https://www.google.com/maps/search/?api=1&query=44.028269,145.864692"
Край Света,コンビニ,43.76774,145.498576,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4221615582,"https://www.google.com/maps/search/?api=1&query=43.76774,145.498576"
Магазин Фортуна,コンビニ,44.027965,145.864368,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4686094192,"https://www.google.com/maps/search/?api=1&query=44.027965,145.864368"
Магнит,コンビニ,43.736789,145.521603,FALSE,店舗種別: convenience / 営業時間: Mo-Su 10:00-14:00,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4221615444,"https://www.google.com/maps/search/?api=1&query=43.736789,145.521603"
Маяк,コンビニ,44.025548,145.864572,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4293997551,"https://www.google.com/maps/search/?api=1&query=44.025548,145.864572"
Парус,コンビニ,44.029793,145.859785,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4293997549,"https://www.google.com/maps/search/?api=1&query=44.029793,145.859785"
Приморье,コンビニ,44.027652,145.864648,FALSE,店舗種別: convenience / 営業時間: Mo-Su 08:00-22:00,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4223365095,"https://www.google.com/maps/search/?api=1&query=44.027652,145.864648"
Рассвет,コンビニ,44.025748,145.86476,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4293997552,"https://www.google.com/maps/search/?api=1&query=44.025748,145.86476"
Рынок,コンビニ,44.0285,145.864645,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4686094298,"https://www.google.com/maps/search/?api=1&query=44.0285,145.864645"
Столичный,コンビニ,44.025509,145.86246,FALSE,店舗種別: convenience / 営業時間: 24/7,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/12139635439,"https://www.google.com/maps/search/?api=1&query=44.025509,145.86246"
Столичный,コンビニ,44.025531,145.86239,FALSE,店舗種別: convenience / 営業時間: 24/7,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/12162409152,"https://www.google.com/maps/search/?api=1&query=44.025531,145.86239"
Успех,コンビニ,44.025245,145.864315,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4223379089,"https://www.google.com/maps/search/?api=1&query=44.025245,145.864315"
セイコーマート,コンビニ,42.954705,144.078313,FALSE,店舗種別: convenience / ブランド: セイコーマート / 営業時間: 00:00-24:00 / 電話: 01547-2-3330,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/10177440217,"https://www.google.com/maps/search/?api=1&query=42.954705,144.078313"
セイコーマート,コンビニ,42.963369,144.072201,FALSE,店舗種別: convenience / ブランド: Seicomart,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/10159287273,"https://www.google.com/maps/search/?api=1&query=42.963369,144.072201"
セイコーマート,コンビニ,42.978908,144.38374,FALSE,店舗種別: convenience / ブランド: セイコーマート,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/5678752523,"https://www.google.com/maps/search/?api=1&query=42.978908,144.38374"
セイコーマート,コンビニ,42.979963,144.13576,FALSE,店舗種別: convenience / ブランド: seicomart,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/10177446585,"https://www.google.com/maps/search/?api=1&query=42.979963,144.13576"
セイコーマート,コンビニ,42.989622,144.37978,FALSE,店舗種別: convenience / ブランド: Seicomart,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/12738207601,"https://www.google.com/maps/search/?api=1&query=42.989622,144.37978"
セイコーマート,コンビニ,43.004498,144.40563,FALSE,店舗種別: convenience / ブランド: セイコーマート,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/5665735155,"https://www.google.com/maps/search/?api=1&query=43.004498,144.40563"
セイコーマート,コンビニ,43.00929,144.418702,FALSE,店舗種別: convenience / ブランド: セイコーマート / 営業時間: Mo-Su 05:00-23:00,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/5665735160,"https://www.google.com/maps/search/?api=1&query=43.00929,144.418702"
セイコーマート,コンビニ,43.014882,144.390179,FALSE,店舗種別: convenience / ブランド: セイコーマート,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/5665658421,"https://www.google.com/maps/search/?api=1&query=43.014882,144.390179"
セイコーマート,コンビニ,43.060673,144.824567,FALSE,店舗種別: convenience / ブランド: セイコーマート,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/2879287801,"https://www.google.com/maps/search/?api=1&query=43.060673,144.824567"
セイコーマート,コンビニ,43.23653,143.546708,FALSE,店舗種別: convenience / ブランド: セイコーマート,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4827191522,"https://www.google.com/maps/search/?api=1&query=43.23653,143.546708"
セイコーマート,コンビニ,43.390247,145.111945,FALSE,店舗種別: convenience / ブランド: セイコーマート,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/6586070985,"https://www.google.com/maps/search/?api=1&query=43.390247,145.111945"
セイコーマート,コンビニ,43.43151,144.098498,FALSE,店舗種別: convenience / ブランド: Seicomart / 営業時間: 06:00-21:00 / 電話: +81 154 67 4036,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/5542901480 / OSM check_date: 2024-07-15,"https://www.google.com/maps/search/?api=1&query=43.43151,144.098498"
セイコーマート,コンビニ,43.433788,144.092479,FALSE,店舗種別: convenience / ブランド: セイコーマート,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4326458771,"https://www.google.com/maps/search/?api=1&query=43.433788,144.092479"
セイコーマート,コンビニ,43.796848,143.75635,FALSE,店舗種別: convenience / ブランド: Seicomart / 運営: セコマ / 営業時間: 06:00-23:00 / 電話: +81 157 33 3510,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/11878701944,"https://www.google.com/maps/search/?api=1&query=43.796848,143.75635"
セイコーマート,コンビニ,43.804067,143.895049,FALSE,店舗種別: convenience / ブランド: Seicomart / 営業時間: 07:00-23:00 / 電話: +81 157 22 0303 / Web: https://www.seicomart.co.jp/,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4234770689,"https://www.google.com/maps/search/?api=1&query=43.804067,143.895049"
セイコーマート,コンビニ,43.820296,144.113992,FALSE,店舗種別: convenience / ブランド: Seicomart,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/11963924799,"https://www.google.com/maps/search/?api=1&query=43.820296,144.113992"
セイコーマート,コンビニ,43.913044,144.169063,FALSE,店舗種別: convenience / ブランド: Seicomart,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/5529468822,"https://www.google.com/maps/search/?api=1&query=43.913044,144.169063"
セイコーマート,コンビニ,44.005126,144.267729,FALSE,店舗種別: convenience / ブランド: セイコーマート,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/2587044327,"https://www.google.com/maps/search/?api=1&query=44.005126,144.267729"
セイコーマート,コンビニ,44.00563,144.279039,FALSE,店舗種別: convenience / ブランド: セイコーマート,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/2587044293,"https://www.google.com/maps/search/?api=1&query=44.00563,144.279039"
セイコーマート,コンビニ,44.021316,144.260563,FALSE,店舗種別: convenience / ブランド: Seicomart / 営業時間: 24/7 / 電話: +81-152-45-1668 / Web: https://www.seicomart.co.jp/,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/11938572469,"https://www.google.com/maps/search/?api=1&query=44.021316,144.260563"
セイコーマート,コンビニ,44.025298,144.258794,FALSE,店舗種別: convenience / ブランド: Seicomart,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/11936463286,"https://www.google.com/maps/search/?api=1&query=44.025298,144.258794"
セイコーマート,コンビニ,44.048498,143.53158,FALSE,店舗種別: convenience,OSM/既存CSV由来。営業時間・営業状況は要確認。 / OSM ID: node/4779288143,"https://www.google.com/maps/search/?api=1&query=44.048498,143.53158"
